,malls,latitude,longitude
0,100 AM,1.27458821795426,103.84347073661
1,313@Somerset,1.30138510214714,103.837684350436
2,Aperia,1.30974242032355,103.864101647509
3,Balestier Hill Shopping Centre,1.3261241687566,103.843709493566
4,Bugis Cube,1.29819500487878,103.855655544739
5,Bugis Junction,1.29901677414964,103.855482356252
6,Bugis+,1.30095171530648,103.855172625542
7,Capitol Piazza,1.29306335877347,103.851293463737
8,Cathay Cineleisure Orchard,1.30153093362853,103.836421018025
9,The Centrepoint,1.3019303071384,103.839813213648
10,City Square Mall,1.31147744952234,103.856780762986
11,CityLink Mall,1.29237860670957,103.854662968868
12,Duo,1.29953434891664,103.85840168774
13,Far East Plaza,1.30724675116163,103.833664932875
14,Funan,1.29124400604241,103.849984790048
15,Great World City,1.2931549290701,103.831928020443
16,HDB Hub,1.3319945640368,103.849796100473
17,ION Orchard,1.30404253406976,103.831888294023
18,Junction 8,1.35068626255041,103.848949711733
19,Knightsbridge,1.3029831225958,103.836283923443
20,Liat Towers,1.30510759038418,103.830727915062
21,Lucky Plaza,1.3044637897474,103.834005158524
22,Marina Bay Sands,1.28399410139205,103.859450636919
23,The Shoppes at Marina Bay Sands,1.28423496027027,103.85898228297
24,Marina Bay Link Mall,1.28046794331672,103.85347014858
25,Marina Square,1.29103980256765,103.857623532359
26,Millenia Walk,1.29204605302049,103.859900233499
27,Ngee Ann City,1.30242417216784,103.834676124451
28,Orchard Central,1.30072350356704,103.839692368177
29,Orchard Gateway,1.30044325279546,103.839442780042
30,Orchard Plaza,1.30126533034758,103.841151770727
31,Midpoint Orchard,1.30178378195546,103.838660627347
32,Palais Renaissance,1.30665484543191,103.829588045188
33,People's Park Centre,1.28579209527994,103.843868384078
34,People's Park Complex,1.28412862636416,103.842584810783
35,Plaza Singapura,1.30082071769235,103.845067272666
36,Raffles City,1.29389357863312,103.853119904656
37,Scotts Square,1.30576292435884,103.83308338186
38,Sim Lim Square,1.30302298515261,103.852875622062
39,Singapore Shopping Centre,1.29813214766933,103.844138374809
40,The South Beach,1.29498804392056,103.856276242094
41,Square 2,1.32061258625866,103.844331494859
42,Sunshine Plaza,1.30039433798822,103.850892323466
43,Suntec City,1.29546675589675,103.858585026016
44,Tanglin Mall,1.30485342129478,103.823883490852
45,Tanjong Pagar Centre,1.27660952826927,103.846180785876
46,Tekka Centre,1.30617773048079,103.850609985486
47,The Adelphi,1.29115683869179,103.851044280765
48,The Paragon,1.30394936355298,103.835844227627
49,Tiong Bahru Plaza,1.28647119992725,103.827158267789
50,The Poiz,1.33130351440716,103.868076452861
51,Thomson Plaza,1.35465019298911,103.830944960934
52,United Square,1.31751171429199,103.843628771215
53,Velocity@Novena Square,1.31929542501907,103.844191353077
54,Wheelock Place,1.3045363597328,103.830714231109
55,Wisma Atria,1.30369890679412,103.833189592785
56,Zhongshan Mall,1.32694504456951,103.846554377679
57,Bedok Mall,1.32466897396909,103.92940545649
58,Bedok Point,1.33054849915481,103.947778439395
59,Century Square,1.35236113143548,103.943784812431
60,Our Tampines Hub,1.35310120216271,103.940848647333
61,Changi City Point,1.33403637902708,103.962917615531
62,Downtown East,1.37918445128046,103.955013328302
63,Djitsun Mall Bedok,1.32605319910571,103.929604640137
64,Eastpoint Mall,1.3425864408894,103.953072338954
65,Jewel Changi Airport,1.36033174518933,103.989670344538
66,Katong Shopping Centre,1.30382040183737,103.901040040135
67,Katong Square,1.30511658648128,103.904298449329
68,Kallang Wave Mall,1.30384327182319,103.872750701661
69,Leisure Park Kallang,1.30233745290722,103.876449175952
70,i12 Katong,1.30522306203042,103.905043928938
71,Parkway Parade,1.30108003311455,103.90528181445
72,Paya Lebar Square,1.31867575623015,103.892550598424
73,Roxy Square,1.30433308408718,103.904060346056
74,Singpost Centre,1.3188718443127,103.894767139006
75,Tampines 1,1.3522279450458,103.952437443086
76,Tampines Mall,1.35258025197038,103.944696230083
77,White Sands,1.37239898072243,103.949749226457
78,City Plaza,1.31480522272254,103.893418325845
79,Elias Mall,1.3779094539485,103.942281483161
80,Loyang Point,1.36700054076336,103.96461777629
81,888 Plaza,1.43713052444868,103.795289911954
82,Admiralty Place,1.43938615380542,103.801706470491
83,AMK Hub,1.36922321403001,103.848467911464
84,Canberra Plaza,1.44324523168314,103.83052345616
85,Causeway Point,1.43608867729912,103.786009973678
86,Woodlands Civic Centre,1.43510773240045,103.78693533379
87,Broadway Plaza,1.37193646369426,103.845973776855
88,Djitsun Mall,1.32605319910571,103.929604640137
89,Jubilee Square,1.37178558575829,103.847837565378
90,Junction 8,1.35068626255041,103.848949711733
91,Marsiling Mall,1.43351253520759,103.779746860157
92,Northpoint City,1.42811357691004,103.836063081819
93,Sembawang Shopping Centre,1.4418532534675,103.824832416105
94,Sun Plaza,1.44822653818275,103.819462102812
95,Vista Point,1.43075765633744,103.793852610387
96,Wisteria Mall,1.41799926284039,103.841236456898
97,Woodlands Mart,1.44564787003157,103.798162285533
98,Woodlands North Plaza,1.4428457006918,103.790825824274
99,Waterway Point,1.40642616289949,103.902238067127
100,Compass One,1.39209415594052,103.894980025383
101,Hougang Mall,1.37243678271743,103.893723857613
102,Heartland Mall,1.35954450890401,103.885169070198
103,NEX,1.3506755212032,103.871861615443
104,Greenwich V,1.38760330190633,103.869423629864
105,Hougang 1,1.37566728348409,103.87945025083
106,Hougang Green Shopping Mall,1.37931783471773,103.887847089168
107,myVillage At Serangoon Garden,1.36516071264446,103.865041851733
108,Northshore Plaza,1.416849810947,103.90213684712
109,Oasis Terraces,1.40263460056252,103.913270565628
110,Punggol Plaza,1.39418409438271,103.912976437583
111,Rivervale Mall,1.39221732667769,103.904473070943
112,Rivervale Plaza,1.385371516087,103.901849634797
113,The Seletar Mall,1.39139306126893,103.87606765513
114,Buangkok Square,1.38433426615655,103.881623070164
115,Upper Serangoon Shopping Centre,1.35348088326122,103.878828409594
116,Beauty World Centre,1.34241264188643,103.776539385678
117,Beauty World Plaza,1.34178799847019,103.776304121109
118,Bukit Panjang Plaza,1.37991650665222,103.764317068535
119,Bukit Timah Plaza,1.3386316527745,103.778585430975
120,Fajar Shopping Centre,1.38358020347573,103.770810440603
121,Greenridge Shopping Centre,1.38541768689995,103.766235457752
122,Hillion Mall,1.37849868060834,103.763022901683
123,HillV2,1.36355095770679,103.76423610633
124,Junction 10,1.38060512473524,103.760041583169
125,Keat Hong Shopping Centre,1.37743963497469,103.744383225412
126,Limbang Shopping Centre,1.39222033136152,103.743611063324
127,Lot One,1.38511154927984,103.745036167492
128,Rail Mall,1.35975852139481,103.767601371556
129,Sunshine Place,1.37789727654674,103.739015486293
130,Teck Whye Shopping Centre,1.3800477264564,103.752464583648
131,West Mall,1.35018916560505,103.749021976618
132,Yew Tee Point,1.39705741516141,103.746662121143
133,Yew Tee Square,1.39834776480802,103.747224809089
134,321 Clementi,1.31202491824439,103.764960537008
135,The Clementi Mall,1.3154967542751,103.764570204717
136,IMM,1.33489844010888,103.746734487309
137,JCube,1.33323785085838,103.740191321438
138,Jem,1.33320021829132,103.743170428258
139,Westgate,1.33428313049536,103.742870105512
140,Jurong Point,1.3394520043632,103.706685012926
141,Pioneer Mall,1.34159108725751,103.697020081587
142,The Star Vista,1.30697044038323,103.788420274115
143,Alexandra Central,1.28747707652854,103.805253381137
144,Anchorpoint,1.28893477974497,103.805607779399
145,Boon Lay Shopping Centre,1.34637376380504,103.712472819666
146,Grantral Mall,1.31423131705905,103.765097562497
147,Fairprice Hub,1.32539180665075,103.678392265337
148,Gek Poh Shopping Centre,1.34874164662883,103.69773963001
149,Rochester Mall,1.30540765569962,103.788446680148
150,Taman Jurong Shopping Centre,1.33484487471259,103.720462024278
151,West Coast Plaza,1.30374258287197,103.766092882107
152,Queensway Shopping Centre,1.2876179255874,103.803391140455
153,VivoCity,1.26439468067256,103.821808620881
154,HarbourFront Centre,1.26379682885331,103.820219045593
155,Alexandra Retail Centre,1.27414893629254,103.801399416665
156,Paya Lebar Quarter,1.31617383739365,103.893138984874
157,Shaw House,1.30573060708011,103.831531920982
158,Mustafa Centre,1.31008085318248,103.855299784017
159,KINEX,1.31469213499495,103.894480526031
