,school,latitude,longitude
0,Admiralty Primary School,1.44298589789841,103.800304550731
1,Ahmad Ibrahim Primary School,1.43368120674913,103.832924289687
2,Ai Tong School,1.36073636488519,103.833075654586
3,Alexandra Primary School,1.29141244826495,103.824359324379
4,Anchor Green Primary School,1.39099731986818,103.886918030392
5,Anderson Primary School,1.38466596519595,103.841238418213
6,Anglo-Chinese School (Junior),1.30937872352186,103.840789144711
7,Anglo-Chinese School (Primary),1.31871859882709,103.835345168025
8,Angsana Primary School,1.34857143331006,103.951673027853
9,Ang Mo Kio Primary School,1.36909206497026,103.839041355537
10,Balestier Hill Primary School,NotFound,NotFound
11,Beacon Primary School,1.38423667692281,103.773754356751
12,Bedok Green Primary School,1.32399627634455,103.937745022761
13,Bendemeer Primary School,1.32197651790133,103.865444845317
14,Blangah Rise Primary School,1.27613030444271,103.808639211285
15,Boon Lay Garden Primary School,1.34284670750022,103.712969004665
16,Bukit Panjang Primary School,1.37347219247536,103.76931748391
17,Bukit Timah Primary School,1.33774986691199,103.766855335531
18,Bukit View Primary School,1.34594524614786,103.753588844734
19,Canberra Primary School,1.45081993926999,103.815714090629
20,Canossa Catholic Primary School,1.32651105993099,103.88175693878
21,Cantonment Primary School,1.27550544136483,103.839922725842
22,Casuarina Primary School,1.3727890164636,103.957291273316
23,Catholic High School (Primary),1.35438878373608,103.844210670766
24,Cedar Primary School,1.3356736312679,103.875206888066
25,Changkat Primary School,1.34020800809178,103.952183401477
26,CHIJ (Katong) Primary,1.30652686240002,103.910921580015
27,CHIJ (Kellock),1.27484459976547,103.828069566486
28,CHIJ Our Lady of Good Counsel,1.35795142682271,103.86425016247
29,CHIJ Our Lady of the Nativity,1.37317401669511,103.897659384616
30,CHIJ Our Lady Queen of Peace,1.36675801448842,103.767694820161
31,CHIJ Primary (Toa Payoh),1.33281815279665,103.841918376501
32,CHIJ St. Nicholas Girls' School,1.37371420130949,103.834273723206
33,Chongfu School,1.43846231168609,103.839070707702
34,Chongzheng Primary School,1.35059476908514,103.951225249062
35,Chua Chu Kang Primary School,1.3776786800641,103.741924742722
36,Clementi Primary School,1.31580856291997,103.76305484091
37,Compassvale Primary School,1.39452983148325,103.897864767116
38,Concord Primary School,1.38028948162066,103.736185592141
39,Coral Primary School,NotFound,NotFound
40,Corporation Primary School,1.35148549046357,103.7075783976
41,Da Qiao Primary School,NotFound,NotFound
42,Damai Primary School,1.33535131498901,103.921268322538
43,Dazhong Primary School,1.35899958489032,103.748123918324
44,De La Salle School,1.39507191622876,103.743443644259
45,East Coast Primary School,NotFound,NotFound
46,East Spring Primary School,1.35304104609341,103.961797146297
47,East View Primary School,NotFound,NotFound
48,Edgefield Primary School,1.40029783476901,103.907430522021
49,Elias Park Primary School,1.3750330318965,103.94535776821
50,Endeavour Primary School,1.45417628963848,103.817427319321
51,Eunos Primary School,1.32438835817339,103.904374787716
52,Evergreen Primary School,1.44414835944296,103.794545291298
53,Fairfield Methodist School (Primary),1.30079869095826,103.785692213083
54,Farrer Park Primary School,1.31250416162069,103.850902684573
55,Fengshan Primary School,1.33032495471395,103.931885376418
56,Fernvale Primary School,1.39028723696761,103.874208302244
57,First Toa Payoh Primary School,1.34073138516358,103.855753390523
58,Frontier Primary School,1.33664853395126,103.699886714517
59,Fuchun Primary School,1.43063976776382,103.778175192579
60,Fuhua Primary School,1.33640376291346,103.736669454731
61,Gan Eng Seng Primary School,1.28595539341476,103.815228207863
62,Geylang Methodist School (Primary),1.31759274969302,103.883892989147
63,Gongshang Primary School,1.35753800205884,103.9488397389
64,Greendale Primary School,1.39649446838292,103.912464014072
65,Greenridge Primary School,1.3858737543113,103.767814630258
66,Greenwood Primary School,1.44011049774911,103.804629295565
67,Guangyang Primary School,1.34604266465632,103.849284759591
68,Haig Girls' School,1.31177205868768,103.902655494254
69,Holy Innocents' Primary School,1.3667378414426,103.893684148327
70,Henry Park Primary School,1.31672581051651,103.78420830194
71,Hong Wen School,1.32168928544376,103.857651758668
72,Horizon Primary School,1.40022484318565,103.912899821512
73,Hougang Primary School,1.3780398609897,103.881166249315
74,Huamin Primary School,1.42684652878862,103.844563832366
75,Innova Primary School,1.42918459185656,103.790557056487
76,Jiemin Primary School,1.42764685183222,103.830480360286
77,Jing Shan Primary School,1.37224911024539,103.852052541878
78,Junyuan Primary School,1.34769172206039,103.939695143887
79,Jurong Primary School,1.34868451151937,103.732974782772
80,Jurong West Primary School,1.33901153395591,103.698965552387
81,Juying Primary School,1.33895145085326,103.687833087248
82,Keming Primary School,1.34524505261969,103.756264470434
83,Kheng Cheng School,1.33740763550641,103.847761130585
84,Kong Hwa School,1.31102090083438,103.888166616683
85,Kranji Primary School,1.39421785057099,103.747104202255
86,Kuo Chuan Presbyterian Primary School,1.34938435588389,103.855170750176
87,Lakeside Primary School,1.33837570310394,103.718050539055
88,Lianhua Primary School,1.35415506887673,103.754210374853
89,Loyang Primary School,NotFound,NotFound
90,MacPherson Primary School,NotFound,NotFound
91,Maha Bodhi School,1.32840772296083,103.901527649046
92,Maris Stella High School,1.34130251444855,103.877814069985
93,Marsiling Primary School,1.4344231166861,103.773697721298
94,Marymount Convent School,1.34042702347099,103.839898962936
95,Mayflower Primary School,1.37606815582917,103.835746732105
96,Mee Toh School,1.39485356300872,103.908572571105
97,Meridian Primary School,1.37613656783999,103.935205854454
98,Methodist Girls' School (Primary),1.3498418643476,103.884978361673
99,Montfort Junior School,1.37393763850817,103.889690807711
100,Nan Chiau Primary School,1.39206468503473,103.890924976943
101,Nan Hua Primary School,1.31983663784769,103.761403957527
102,Nanyang Primary School,1.32111548993736,103.806468059795
103,Ngee Ann Primary School,1.30554015271643,103.917755430065
104,Naval Base Primary School,1.41646377284487,103.838534750193
105,New Town Primary School,1.29981138774552,103.79996481092
106,Northland Primary School,1.42130404433542,103.840792917089
107,Northoaks Primary School,1.45666687329386,103.813610010422
108,North Spring Primary School,1.38752823629059,103.903512956253
109,North View Primary School,1.42794340255251,103.848368288236
110,North Vista Primary School,1.38310941240373,103.895988307538
111,Oasis Primary School,1.40438767010429,103.910915944238
112,Opera Estate Primary School,1.31996875474462,103.923752660472
113,Palm View Primary School,1.38384076410294,103.891215105298
114,Park View Primary School,1.37777026097219,103.939688717311
115,Pasir Ris Primary School,1.37230861882846,103.962918870593
116,Paya Lebar Methodist Girls' School (Primary),1.3498418643476,103.884978361673
117,Pei Chun Public School,1.33728893309898,103.855473497018
118,Pei Hwa Presbyterian Primary School,1.33806704395877,103.776191458102
119,Pei Tong Primary School,1.31584558898537,103.767672856893
120,Peiying Primary School,1.41740819239645,103.830299468024
121,Pioneer Primary School,1.34872092746567,103.694867873154
122,Poi Ching School,1.35785730207582,103.935117143734
123,Princess Elizabeth Primary School,1.34887723214468,103.741031428147
124,Punggol Cove Primary School,1.41147742643259,103.898889527353
125,Punggol Green Primary School,1.4015297093198,103.898475669533
126,Punggol Primary School,1.37820062324157,103.89475334315
127,Punggol View Primary School,1.40503420664529,103.90561239577
128,Qifa Primary School,1.31262154226307,103.757030040839
129,Qihua Primary School,1.4420359661233,103.78833975717
130,Queenstown Primary School,1.29598844588534,103.807901902313
131,Radin Mas Primary School,1.27499032586149,103.824087249895
132,Raffles Girls' Primary School,1.33007391908583,103.806221335243
133,Red Swastika School,1.3334938298266,103.934374884855
134,Riverside Primary School,1.44710495026317,103.801921210213
135,River Valley Primary School,1.29418347541731,103.836018932052
136,Rivervale Primary School,1.39357380506775,103.904718284557
137,Rosyth School,1.37291579617882,103.874693245991
138,Rulang Primary School,1.34684445616169,103.719009824408
139,Sengkang Green Primary School,1.39307853125283,103.875158830341
140,Sembawang Primary School,1.44504364451206,103.821021505387
141,Si Ling Primary School,1.4326998657579,103.785778769275
142,Seng Kang Primary School,1.38925045654185,103.899527873246
143,Shuqun Primary School,1.34756849017026,103.721557973446
144,Singapore Chinese Girls’ School (Primary),1.32080725235992,103.827744749548
145,South View Primary School,1.38153700287686,103.746933170164
146,Springdale Primary School,1.39475479918996,103.88977762246
147,Stamford Primary School,1.30409108329892,103.857392979824
148,St. Andrew's Junior School,1.33136041631121,103.865178864784
149,St. Anthony's Canossian Primary School,1.33480685527666,103.941208873959
150,St. Anthony's Primary School,1.36463912533321,103.749294036695
151,St. Gabriel's Primary School,1.34924603372868,103.862332032728
152,St. Hilda's Primary School,1.34934994368496,103.937920511812
153,St. Joseph's Institution Junior,1.31781476118551,103.845633334522
154,St. Margaret's Primary School,1.30377597048066,103.84627782246
155,St. Stephen's School,1.31881620631885,103.917526142651
156,Tampines North Primary School,1.36069171976908,103.948936797596
157,Tampines Primary School,1.35052849229715,103.943990976465
158,Tanjong Katong Primary School,1.30530737066542,103.90053168483
159,Tao Nan School,1.30504070009139,103.911132922585
160,Teck Ghee Primary School,1.36520063113584,103.851032163057
161,Teck Whye Primary School,1.38355830308367,103.753682810457
162,Telok Kurau Primary School,1.3309134715061,103.91134913991
163,Temasek Primary School,1.31771638945322,103.94569522928
164,Townsville Primary School,1.36036263436066,103.854185521507
165,Unity Primary School,1.40282338968617,103.746993420009
166,Valour Primary School,1.40687135453389,103.898910900479
167,Waterway Primary School,1.39915421007324,103.918670764176
168,Wellington Primary School,1.45210136633472,103.82228492135
169,West Grove Primary School,1.34471212179466,103.698964204829
170,West Spring Primary School,1.38975025654935,103.766160479102
171,Westwood Primary School,1.34715463167376,103.700526715746
172,West View Primary School,1.38340393688758,103.760331906943
173,White Sands Primary School,1.36551781309107,103.960948215572
174,Woodgrove Primary School,1.43305806041001,103.790389620371
175,Woodlands Primary School,1.43674638306535,103.791771693783
176,Woodlands Ring Primary School,1.43476970480441,103.797841126811
177,Xinghua Primary School,1.35799654685785,103.890216354916
178,Xingnan Primary School,1.34268487634267,103.68772398508
179,Xinmin Primary School,1.37141472620904,103.883017746499
180,Xishan Primary School,1.43350145509511,103.838289310553
181,Yangzheng Primary School,1.34897202423063,103.868362521917
182,Yew Tee Primary School,1.39696139159331,103.751194604689
183,Yio Chu Kang Primary School,1.37782270940138,103.885568714764
184,Yishun Primary School,1.43337675928143,103.833991747394
185,Yu Neng Primary School,1.33390380862118,103.93203405271
186,Yuhua Primary School,1.34291981758865,103.740861144256
187,Yumin Primary School,1.3514596031823,103.950716122461
188,Zhangde Primary School,1.2844982197148,103.826148977614
189,Zhenghua Primary School,1.37992200404367,103.769277780391
190,Zhonghua Primary School,1.36016673529602,103.869695911447
